,bldg_Building_gml_id,damage_value_building,damage_value_contents,damage_value_total
0,bldg_26544d37-5300-4b17-8f98-0bea0131819d,0.0,0.0,0.0
1,bldg_7019140c-7bfe-447a-8e56-2dd4ee9d84ff,0.0,0.0,0.0
2,bldg_d953eb1a-9225-4352-88da-dfc79bd1544f,0.0,0.0,0.0
3,bldg_223ef7de-64ed-4233-bae2-0fc6f4301dad,0.0,0.0,0.0
4,bldg_84db1151-b22a-4ba2-82ab-c351001cdf5d,0.0,0.0,0.0
5,bldg_8f9771b7-8670-4e28-8727-a995b067a06a,0.0,0.0,0.0
6,bldg_05b1f8cc-43da-436a-89d3-87c8fdf50c77,0.0,0.0,0.0
7,bldg_65dee1f1-4f5a-4f42-94a8-c44dfbddb701,0.0,0.0,0.0
8,bldg_f9ef9541-7f50-4a04-9e50-5c9369bbc8e2,0.0,0.0,0.0
9,bldg_a4810cd4-e515-4ba7-83b9-c3ca3b87c48e,0.0,0.0,0.0
10,bldg_c70c469a-c6f9-451b-bbee-1d4a71d0d80b,0.0,0.0,0.0
11,bldg_fa875369-2514-4f7e-8719-3e7012a961ac,0.0,0.0,0.0
12,bldg_c1a00e02-6827-4762-868b-fd57b13806ee,0.0,0.0,0.0
13,bldg_e1c9da50-815e-4f40-9ceb-8a806cda28e2,0.0,0.0,0.0
14,bldg_8a0a53c4-2bdd-4c35-adfe-7a21c3ec04d5,0.0,0.0,0.0
15,bldg_afd2740a-9245-4a60-8918-e5fcbd23ba7e,0.0,0.0,0.0
16,bldg_936a0775-0f1a-4865-bbc7-6577209545bf,0.0,0.0,0.0
17,bldg_7aef568b-de2c-483b-9cae-48dd96ee93f3,0.0,0.0,0.0
18,bldg_cdbc7777-d6f4-44bb-b5b0-d288ed86ed8a,0.0,0.0,0.0
19,bldg_666566f2-68e6-4ee9-a0b3-3cab52358d63,0.0,0.0,0.0
20,bldg_51f1ff9f-a96c-4613-9399-f088660562a2,0.0,0.0,0.0
21,bldg_e679b7b3-0036-4250-8ed2-9f7a7e445609,0.0,0.0,0.0
22,bldg_2ca61019-1394-4b05-9636-27b34ff81a0c,0.0,0.0,0.0
23,bldg_631bfcff-fbe0-42ca-b497-8ebbb47378d1,0.0,0.0,0.0
24,bldg_57cc7e30-1fc8-4c75-90d2-b2038c8a58d5,0.0,0.0,0.0
25,bldg_051a2926-ce53-48e8-a90b-6387ef6f990e,0.0,0.0,0.0
26,bldg_fe6ba7ab-6fd9-4bd7-9b1a-ebfb365caee4,0.0,0.0,0.0
27,bldg_66ba3a3d-5ead-4420-8f2d-0307c53e0eb1,0.0,0.0,0.0
28,bldg_d3d9a68a-40c3-47be-b444-33539157f852,0.0,0.0,0.0
29,bldg_19bb861b-5ea9-4c52-9d55-95d3471bb372,0.0,0.0,0.0
30,bldg_a79622fa-49b8-429d-bd4c-b5683311ed7b,0.0,0.0,0.0
31,bldg_731476c7-1781-43d8-b43d-7e821e7f5167,0.0,0.0,0.0
32,bldg_3c1e7ae4-4adb-4d66-93ef-f5a935f35539,0.0,0.0,0.0
33,bldg_73c35d38-7dd4-4889-8f68-198e50a7ce58,0.0,0.0,0.0
34,bldg_1af3c217-7657-4cee-9e63-817dec890e30,0.0,0.0,0.0
35,bldg_713947d3-dd17-4b67-b733-e0ad305c9510,0.0,0.0,0.0
36,bldg_3e02d712-c8a8-4d89-9dfc-099c38dbd848,0.0,0.0,0.0
37,bldg_403c5a03-ef65-4bb6-aa4c-3d7c2cab2dd8,0.0,0.0,0.0
38,bldg_42b06460-5452-4df6-9629-65474f3d21cb,0.0,0.0,0.0
39,bldg_a45b7219-3bfc-4a4f-9d5a-5a638711497e,0.0,0.0,0.0
40,bldg_3cd25ddf-7813-448b-a654-ae1f87cd8e08,0.0,0.0,0.0
41,bldg_d5afb73e-5550-436d-a38d-9cbc881db1e7,0.0,0.0,0.0
42,bldg_76e7b896-c0ff-4474-ac38-312177af0faf,0.0,0.0,0.0
43,bldg_f68de54d-8fad-4c88-86cd-d293ccac68ef,0.0,0.0,0.0
44,bldg_90b71766-d80a-41d2-993d-3a1c8eb10eb2,0.0,0.0,0.0
45,bldg_61826963-2b1b-41c3-a68e-5daf7f4f4287,0.0,0.0,0.0
46,bldg_824d1855-82d7-4046-a007-cef16783dbcb,0.0,0.0,0.0
47,bldg_57236db5-2b2a-47cd-9bc8-4bd8f6089ee6,0.0,0.0,0.0
48,bldg_485fbb97-dbc0-4d32-84c0-86ec112af1a1,0.0,0.0,0.0
49,bldg_46dacf5b-7fa6-4597-8a4c-62053e051adb,0.0,0.0,0.0
50,bldg_736ac87a-0090-4ef3-8a4f-7a07fa55581f,0.0,0.0,0.0
51,bldg_5f2a3be5-e1fa-4e06-ac9d-82e34a7c56bb,0.0,0.0,0.0
52,bldg_bee75f5f-2499-4ea5-9093-6b18a39a16ff,0.0,0.0,0.0
53,bldg_cb1f489e-d1e8-4107-83ce-34a20e5c4de2,0.0,0.0,0.0
54,bldg_86adcf80-e312-4e6d-a243-855946ebe06c,0.0,0.0,0.0
55,bldg_72247a52-e073-445e-8aee-8575bd0d0956,0.0,0.0,0.0
56,bldg_844e9d9c-0619-4d2f-ae12-eb975812543c,0.0,0.0,0.0
57,bldg_8e42692d-1027-4b7b-b821-9734c09e6c40,0.0,0.0,0.0
58,bldg_4963919f-7e82-401d-b483-3327777e8ba6,0.0,0.0,0.0
59,bldg_88dace96-1c39-4a09-9c0a-92ef98f7d808,0.0,0.0,0.0
60,bldg_3beaa835-2fc5-4863-8e65-9328c3079e5c,0.0,0.0,0.0
61,bldg_8d1f6aae-cf0b-4cb2-9be3-3c19e2fb0014,0.0,0.0,0.0
62,bldg_e40fab15-7d53-4a28-8fa2-eed95717b9e3,0.0,0.0,0.0
63,bldg_112c94e1-f871-4e13-bcb5-e902797bab93,0.0,0.0,0.0
64,bldg_eb5c8011-b15b-46ad-b360-2ffdfe3101fd,0.0,0.0,0.0
65,bldg_8076c75a-7c83-441f-a881-b6d4db15b252,0.0,0.0,0.0
66,bldg_d355f33d-39e0-47ff-87fc-5b07f502d699,0.0,0.0,0.0
67,bldg_b87728c9-ab99-4568-93cc-c11c85240f73,0.0,0.0,0.0
