,bldg_Building_gml_id,value_building_per_sqare_meter,value_indoor_movable_property,floor_height,value_building,value_building_Above,value_building_Below,value_contents_Above,value_contents_Below,value_contents
0,bldg_26544d37-5300-4b17-8f98-0bea0131819d,20000,0,2.980999999999767,573701.3319916396,0.0,0.0,0.0,0.0,0.0
1,bldg_7019140c-7bfe-447a-8e56-2dd4ee9d84ff,20000,0,2.840283333333597,5056721.61463221,0.0,0.0,0.0,0.0,0.0
2,bldg_d953eb1a-9225-4352-88da-dfc79bd1544f,20000,0,3.0,1393401.1405234665,0.0,0.0,0.0,0.0,0.0
3,bldg_223ef7de-64ed-4233-bae2-0fc6f4301dad,20000,0,3.0,542320.960404825,0.0,0.0,0.0,0.0,0.0
4,bldg_84db1151-b22a-4ba2-82ab-c351001cdf5d,20000,0,3.123600000006263,3016308.7530229385,0.0,0.0,0.0,0.0,0.0
5,bldg_8f9771b7-8670-4e28-8727-a995b067a06a,20000,0,3.1581999999907566,6294000.0,0.0,0.0,0.0,0.0,0.0
6,bldg_05b1f8cc-43da-436a-89d3-87c8fdf50c77,20000,0,3.0,1988147.500219856,0.0,0.0,0.0,0.0,0.0
7,bldg_65dee1f1-4f5a-4f42-94a8-c44dfbddb701,20000,0,3.0,126457.77858686262,0.0,0.0,0.0,0.0,0.0
8,bldg_f9ef9541-7f50-4a04-9e50-5c9369bbc8e2,20000,0,3.0,155562.40715550986,0.0,0.0,0.0,0.0,0.0
9,bldg_a4810cd4-e515-4ba7-83b9-c3ca3b87c48e,20000,0,2.2237999999997555,6790000.0,0.0,0.0,0.0,0.0,0.0
10,bldg_c70c469a-c6f9-451b-bbee-1d4a71d0d80b,20000,0,2.5086499999961234,705973.6825789942,0.0,0.0,0.0,0.0,0.0
11,bldg_fa875369-2514-4f7e-8719-3e7012a961ac,20000,0,4.20350000000326,1094000.0,0.0,0.0,0.0,0.0,0.0
12,bldg_c1a00e02-6827-4762-868b-fd57b13806ee,20000,0,3.0,94694.67957346926,0.0,0.0,0.0,0.0,0.0
13,bldg_e1c9da50-815e-4f40-9ceb-8a806cda28e2,20000,0,3.0,275268.58797001047,0.0,0.0,0.0,0.0,0.0
14,bldg_8a0a53c4-2bdd-4c35-adfe-7a21c3ec04d5,20000,0,3.0,915289.3109745447,0.0,0.0,0.0,0.0,0.0
15,bldg_afd2740a-9245-4a60-8918-e5fcbd23ba7e,20000,0,2.1955999999991036,3284000.0,0.0,0.0,0.0,0.0,0.0
16,bldg_936a0775-0f1a-4865-bbc7-6577209545bf,20000,0,3.0,316177.2224805451,0.0,0.0,0.0,0.0,0.0
17,bldg_7aef568b-de2c-483b-9cae-48dd96ee93f3,20000,0,3.0,83482.92648494996,0.0,0.0,0.0,0.0,0.0
18,bldg_cdbc7777-d6f4-44bb-b5b0-d288ed86ed8a,20000,0,2.3205999999991036,2289623.280705169,0.0,0.0,0.0,0.0,0.0
19,bldg_666566f2-68e6-4ee9-a0b3-3cab52358d63,20000,0,3.231449999999313,533643.8727256317,0.0,0.0,0.0,0.0,0.0
20,bldg_51f1ff9f-a96c-4613-9399-f088660562a2,20000,0,3.0,205922.19136088982,0.0,0.0,0.0,0.0,0.0
21,bldg_e679b7b3-0036-4250-8ed2-9f7a7e445609,20000,0,3.0,109837.82859922633,0.0,0.0,0.0,0.0,0.0
22,bldg_2ca61019-1394-4b05-9636-27b34ff81a0c,20000,0,3.0,674000.0,0.0,0.0,0.0,0.0,0.0
23,bldg_631bfcff-fbe0-42ca-b497-8ebbb47378d1,20000,0,3.0,103014.60382006023,0.0,0.0,0.0,0.0,0.0
24,bldg_57cc7e30-1fc8-4c75-90d2-b2038c8a58d5,20000,0,3.0,75339.22192307678,0.0,0.0,0.0,0.0,0.0
25,bldg_051a2926-ce53-48e8-a90b-6387ef6f990e,20000,0,3.0,103487.09608326935,0.0,0.0,0.0,0.0,0.0
26,bldg_fe6ba7ab-6fd9-4bd7-9b1a-ebfb365caee4,20000,0,3.0,336616.74861165276,0.0,0.0,0.0,0.0,0.0
27,bldg_66ba3a3d-5ead-4420-8f2d-0307c53e0eb1,20000,0,3.0,97615.30980235644,0.0,0.0,0.0,0.0,0.0
28,bldg_d3d9a68a-40c3-47be-b444-33539157f852,20000,0,3.0,345396.1252035458,0.0,0.0,0.0,0.0,0.0
29,bldg_19bb861b-5ea9-4c52-9d55-95d3471bb372,20000,0,3.0,115768.29939704564,0.0,0.0,0.0,0.0,0.0
30,bldg_a79622fa-49b8-429d-bd4c-b5683311ed7b,20000,0,3.0,94148.24696445603,0.0,0.0,0.0,0.0,0.0
31,bldg_731476c7-1781-43d8-b43d-7e821e7f5167,20000,0,2.335000000006403,2422000.0,0.0,0.0,0.0,0.0,0.0
32,bldg_3c1e7ae4-4adb-4d66-93ef-f5a935f35539,20000,0,3.0,87323.92118677135,0.0,0.0,0.0,0.0,0.0
33,bldg_73c35d38-7dd4-4889-8f68-198e50a7ce58,20000,0,3.0,99077.62271549723,0.0,0.0,0.0,0.0,0.0
34,bldg_1af3c217-7657-4cee-9e63-817dec890e30,20000,0,3.493499999996857,529088.5136784186,0.0,0.0,0.0,0.0,0.0
35,bldg_713947d3-dd17-4b67-b733-e0ad305c9510,20000,0,3.0,255102.40474239588,0.0,0.0,0.0,0.0,0.0
36,bldg_3e02d712-c8a8-4d89-9dfc-099c38dbd848,20000,0,3.0,764000.0,0.0,0.0,0.0,0.0,0.0
37,bldg_403c5a03-ef65-4bb6-aa4c-3d7c2cab2dd8,20000,0,3.0,92372.0458359831,0.0,0.0,0.0,0.0,0.0
